1	77	2130538
2	88	2069178
3	43	1651669
4	79	1491136
5	60	1483073
6	84	1466775
7	48	1444540
8	75	1437178
9	80	1316866
10	51	1301515
11	86	1284295
12	76	1227172
13	52	1223781
14	82	1173019
15	89	1099632
16	66	1074223
17	81	1053982
18	54	1033970
19	74	1026869
20	53	1015248
21	78	1010329
22	56	983742
23	38	948008
24	90	940063
25	35	938482
26	73	938079
27	93	882442
28	70	868114
29	27	856332
30	64	853165
31	25	781413
32	44	775300
33	22	766469
34	32	752860
35	40	750381
36	58	748256
37	36	737315
38	47	733204
39	57	727265
40	39	712053
41	28	676253
42	37	665052
43	34	651736
44	98	646131
45	87	644426
46	31	627537
47	72	619575
48	49	609504
49	45	599016
50	23	580381
51	24	574590
52	26	568734
53	95	558336
54	46	553136
55	91	552680
56	68	538994
57	85	536778
58	67	507371
59	59	505132
60	92	501591
61	71	498287
62	50	481457
63	42	476601
64	61	441372
65	62	366694
66	30	326310
67	33	302170
68	96	295517
69	55	285017
70	94	282078
71	41	271115
72	65	269020
73	63	212794
74	29	199983
75	83	153050
76	69	118280
77	21	32218
78	97	27715
